"Total Earmarks in FY08 Appropriations Bills, by Member of Congress",,,,,,
Prepared by Taxpayers for Common Sense (www.taxpayer.net),,,,,,
,,,,,,
Member,Party,State,Solo Earmarks,Solo and With Other Members,"Solo, With Other Members and President",Notes
Gordon,D,TN,"$12,439,000","$32,393,000","$32,393,000",
Granger,R,TX,"$16,266,500","$47,146,280","$135,146,280",
Graves,R,MO,"$2,887,500","$6,717,500","$7,667,500",
"Green, Al",D,TX,"$2,437,000","$42,909,500","$78,714,500",
"Green, Gene",D,TX,"$1,156,500","$44,365,000","$60,575,000",
Grijalva,D,AZ,"$3,609,000","$31,767,500","$31,767,500",
Gutierrez,D,IL,"$1,839,000","$4,155,000","$4,155,000",
"Hall, John",D,NY,"$7,197,800","$20,774,000","$20,774,000",
"Hall, Ralph",R,TX,"$3,367,500","$13,010,500","$97,535,500",
Hare,D,IL,"$1,177,000","$92,205,600","$92,205,600",
Harman,D,CA,"$10,188,000","$22,825,000","$23,165,000",
Hastert,R,IL,"$6,760,080","$25,215,080","$25,215,080",
"Hastings, Alcee",D,FL,"$2,623,500","$13,651,000","$78,375,000",
"Hastings, Doc",R,WA,"$2,371,000","$23,520,300","$75,195,300",
Hayes,R,NC,"$8,572,000","$43,854,000","$43,854,000",No longer in Congress; successor not yet named
Heller,R,NV,"$2,686,000","$31,788,000","$43,588,000",
Hensarling,R,TX,$0,$0,$0,
Herger,R,CA,"$1,315,000","$4,232,000","$30,080,000",
Herseth Sandlin,D,SD,"$1,004,000","$67,274,900","$131,412,900",
Higgins,D,NY,"$6,696,000","$23,755,000","$23,897,000",
Hill,D,IN,"$3,925,900","$17,575,500","$17,575,500",
Hinchey,D,NY,"$5,808,980","$41,004,480","$41,004,480",
Hinojosa,D,TX,"$25,676,000","$27,867,000","$119,034,000",
Hirono,D,HI,"$3,967,000","$62,714,290","$66,908,290",
Hobson,R,OH,"$45,824,100","$87,670,650","$102,685,650",
Hodes,D,NH,"$3,613,000","$35,502,000","$37,704,000",
Hoekstra,R,MI,"$833,000","$10,780,500","$10,780,500",One Prez earmark supported zeroed out
Holden,D,PA,"$14,990,500","$34,212,500","$64,728,500",
Holt,D,NJ,"$6,103,500","$23,346,600","$23,346,600",
Honda,D,CA,"$6,512,500","$31,140,120","$33,499,120",
Hooley,D,OR,"$94,000","$46,038,610","$139,198,610",
Hoyer,D,MD,"$13,720,259","$138,832,759","$267,425,759",
Hulshof,R,MO,"$2,734,480","$22,728,480","$22,728,480",
Hunter,R,CA,"$25,727,000","$27,068,500","$28,200,500",
Inglis,R,SC,"$4,723,500","$13,875,000","$13,875,000",6 Pres earmarks supported (3 solo)
Inslee,D,WA,"$282,000","$32,685,800","$55,436,800",
Israel,D,NY,"$5,151,000","$24,895,550","$36,705,550",
Issa,R,CA,"$2,862,500","$12,173,500","$12,173,500",
Jackson,D,IL,"$6,484,500","$36,917,000","$97,593,000",
Jackson Lee,D,TX,"$1,863,000","$7,590,500","$7,590,500",
Jefferson,D,LA,"$658,000","$7,406,850","$61,535,850",
Jindal,R,LA,"$780,500","$97,913,200","$241,502,200",
"Johnson, Eddie",D,TX,"$1,169,500","$17,251,500","$101,776,500",
"Johnson, Hank",D,GA,"$2,402,000","$14,743,000","$14,743,000",
"Johnson, Sam",R,TX,"$1,840,000","$10,940,000","$95,465,000",
"Johnson, Timothy",R,IL,"$1,816,500","$8,423,500","$8,423,500",
"Jones, Stephanie Tubbs",D,OH,"$3,230,000","$10,373,560","$10,373,560",
"Jones, Walter",R,NC,"$3,190,000","$23,966,000","$23,966,000",
Jordan,R,OH,"$263,000","$3,161,000","$3,161,000",
Kagen,D,WI,"$6,739,100","$25,533,700","$25,533,700",
Kanjorski,D,PA,"$2,955,000","$16,635,250","$16,635,250",
Kaptur,D,OH,"$50,252,000","$76,858,000","$76,858,000",
Keller,R,FL,"$4,299,000","$9,112,100","$9,112,100",
Kennedy,D,RI,"$14,528,000","$57,346,800","$57,346,800",
Kildee,D,MI,"$637,000","$15,803,750","$15,803,750",
Kilpatrick,D,MI,"$2,608,000","$13,148,740","$13,148,740",
Kind,D,WI,"$1,758,000","$11,416,000","$11,416,000",
"King, Peter",R,NY,"$148,000","$25,106,500","$25,106,500",
"King, Steve",R,IA,"$735,000","$9,864,200","$36,432,200",
Kingston,R,GA,"$17,272,800","$100,243,800","$109,661,800",
Kirk,R,IL,"$4,725,000","$30,665,000","$74,766,000",
Klein,D,FL,"$3,935,500","$13,426,000","$13,426,000",
Kline,R,MN,$0,$0,$0,
Knollenberg,R,MI,"$8,338,320","$33,280,990","$33,280,990",
Kucinich,D,OH,"$1,989,000","$8,091,560","$8,091,560",
Kuhl,R,NY,"$2,658,000","$23,431,000","$23,431,000",
LaHood,R,IL,"$10,693,600","$62,711,100","$80,287,100",
Lamborn,R,CO,$0,"$17,151,800","$78,451,800",
Lampson,D,TX,"$15,224,500","$42,011,000","$57,741,000",
Langevin,D,RI,"$793,000","$35,743,400","$76,943,400",
Lantos,D,CA,"$6,272,000","$19,892,250","$19,892,250",
Larsen,D,WA,"$12,438,000","$56,545,200","$94,056,200",
Larson,D,CT,"$3,048,000","$25,849,582","$30,771,582",
Latham,R,IA,"$3,127,000","$69,343,000","$69,343,000",No longer in Congress; successor not yet named
LaTourette,R,OH,"$5,751,500","$12,777,500","$12,777,500",
Latta,,,$0,$0,$0,
Lee,D,CA,"$13,143,000","$22,481,000","$63,809,000",
Levin,D,MI,"$919,000","$16,362,420","$16,362,420",
"Lewis, Jerry",R,CA,"$109,962,000","$137,414,000","$138,487,000",Replaced Gillmor
"Lewis, John",D,GA,"$1,626,000","$15,115,500","$15,115,500",
"Lewis, Ron",R,KY,"$5,347,920","$5,692,920","$5,692,920",
Linder,R,GA,"$392,000","$2,248,000","$2,248,000",
Lipinski,D,IL,"$3,746,000","$7,218,000","$9,430,000",
LoBiondo,R,NJ,"$433,000","$43,064,300","$43,316,300",
Loebsack,D,IA,"$423,000","$28,636,800","$28,636,800",
Lofgren,D,CA,"$2,604,000","$26,678,220","$29,037,220",
Lowey,D,NY,"$18,841,000","$26,403,000","$31,325,000",
Lucas,R,OK,"$1,661,500","$17,227,700","$17,227,700",
Lungren,R,CA,"$785,500","$17,979,000","$80,805,000",
Lynch,D,MA,"$4,182,500","$26,224,250","$35,933,250",
Mack,R,FL,"$2,677,500","$6,693,000","$6,693,000",
Mahoney,D,FL,"$5,102,400","$20,878,600","$20,878,600",
Maloney,D,NY,"$14,435,000","$23,095,600","$190,905,900",
Manzullo,R,IL,"$2,116,500","$64,850,500","$64,850,500",
Marchant,R,TX,"$352,500","$6,520,500","$6,520,500",
Markey,D,MA,"$5,376,000","$26,066,250","$26,066,250",
Marshall,D,GA,"$6,567,500","$50,054,500","$50,054,500",
Matheson,D,UT,"$3,739,000","$18,031,000","$18,438,000",
Matsui,D,CA,"$10,374,000","$22,819,000","$85,645,000",
"McCarthy, Carolyn",D,NY,"$2,576,500","$24,614,475","$24,614,475",
"McCarthy, Kevin",R,CA,"$4,011,500","$21,112,500","$56,112,500",
McCaul,R,TX,"$1,722,000","$19,958,000","$19,958,000",
McCollum,D,MN,"$1,991,000","$27,613,600","$27,613,600",
McCotter,R,MI,"$1,422,000","$2,745,000","$2,745,000",
McCrery,R,LA,"$732,000","$44,665,060","$51,553,060",
McDermott,D,WA,"$239,000","$30,298,000","$53,049,000",
McGovern,D,MA,"$8,612,000","$27,621,000","$27,621,000",
McHenry,R,NC,"$2,295,500","$11,980,500","$11,980,500",
McHugh,R,NY,"$1,790,000","$18,863,500","$18,863,500",
McIntyre,D,NC,"$2,685,500","$33,227,500","$33,227,500",
McKeon,R,CA,"$3,832,000","$28,290,000","$28,290,000",
McMorris Rodgers,R,WA,"$6,535,000","$19,845,300","$42,483,300",
McNerney,D,CA,"$4,738,000","$20,515,900","$20,515,900",
McNulty,D,NY,"$2,937,500","$17,195,500","$17,195,500",
Meehan,D,MA,"$2,907,000","$57,935,000","$57,935,000",
Meek,D,FL,"$3,697,000","$13,779,500","$13,779,500",
Meeks,D,NY,"$546,500","$6,252,500","$7,278,500",
Melancon,D,LA,"$642,900","$49,259,500","$49,259,500",No longer in Congress; replaced by Tsongas
Mica,R,FL,"$5,180,000","$16,988,100","$16,988,100",
Michaud,D,ME,"$2,361,000","$16,949,000","$20,198,000",
Millender-McDonald,D,CA,$0,"$4,402,900","$5,730,900",
"Miller, Brad",D,NC,"$2,021,000","$9,595,000","$9,595,000",
"Miller, Candice",R,MI,"$1,276,000","$5,464,500","$5,464,500",
"Miller, Gary",R,CA,"$3,512,500","$14,287,500","$37,017,500",No longer in Congress; replaced by Richardson
"Miller, George",D,CA,"$18,329,000","$68,277,000","$68,277,000",
"Miller, Jeff",R,FL,"$1,743,000","$13,689,500","$13,689,500",
Mitchell,D,AZ,"$5,580,000","$34,665,000","$123,541,000",
Mollohan,D,WV,"$26,939,900","$63,767,900","$63,767,900",
"Moore, Dennis",D,KS,"$1,707,000","$7,345,000","$17,151,000",
"Moore, Gwen",D,WI,"$2,341,000","$8,831,300","$8,831,300",
"Moran, James",D,VA,"$40,609,000","$95,752,500","$145,745,500",
"Moran, Jerry",R,KS,"$5,095,500","$8,016,600","$8,016,600",
"Murphy, Christopher",D,CT,"$4,787,500","$41,305,950","$46,985,950",
"Murphy, Patrick",D,PA,"$9,182,400","$30,406,400","$30,406,400",
"Murphy, Timothy",R,PA,"$2,732,500","$11,642,500","$80,817,500",
Murtha,D,PA,"$159,940,200","$176,353,200","$176,353,200",
Musgrave,R,CO,"$3,299,900","$28,653,900","$91,564,900",
Myrick,R,NC,"$3,200,000","$16,204,500","$16,204,500",
Nadler,D,NY,"$731,000","$13,489,100","$190,034,400",
Napolitano,D,CA,"$2,104,000","$10,464,000","$10,464,000",
Neal,D,MA,"$2,493,500","$10,521,000","$10,521,000",
Neugebauer,R,TX,"$4,836,400","$19,544,600","$19,544,600",
Norton,D,DC,"$3,483,000","$7,815,000","$7,815,000",
Norwood,,,$0,$0,"$6,255,000",
Nunes,R,CA,"$687,500","$2,123,100","$13,931,100",
Oberstar,D,MN,"$5,181,200","$90,364,150","$93,809,150",
Obey,D,WI,"$59,882,000","$102,060,950","$102,847,950",No longer in Congress; replaced by Broun
Olver,D,MA,"$37,867,200","$68,313,200","$70,282,200",
Ortiz,D,TX,"$16,123,000","$53,416,000","$144,977,000",
Pallone,D,NJ,"$467,000","$13,720,600","$13,720,600",
Pascrell,D,NJ,"$147,000","$33,323,400","$33,815,400",
Pastor,D,AZ,"$14,125,400","$57,616,400","$146,738,400",
Paul,R,TX,"$532,000","$27,061,000","$43,939,000",
Payne,D,NJ,"$587,500","$22,246,600","$22,246,600",
Pearce,R,NM,"$294,000","$19,008,200","$19,008,200",
Pelosi,D,CA,"$27,128,900","$94,249,500","$144,089,500",
Pence,R,IN,"$598,500","$6,865,400","$6,865,400",
Perlmutter,D,CO,"$2,979,600","$24,347,825","$126,458,825",
"Peterson, Collin",D,MN,"$2,049,500","$14,368,100","$14,368,100",
"Peterson, John",R,PA,"$18,910,000","$29,949,000","$29,949,000",
Petri,R,WI,"$5,255,000","$12,993,000","$21,603,000",
Pickering,R,MS,"$686,500","$49,215,500","$49,215,500",
Pitts,R,PA,$0,"$10,976,000","$10,976,000",
Platts,R,PA,"$1,186,900","$9,357,900","$9,357,900",
Poe,R,TX,"$1,275,500","$7,749,500","$8,229,500",
Pomeroy,D,ND,"$634,500","$60,601,040","$134,302,040",
Porter,R,NV,"$2,780,600","$19,003,030","$21,340,030",
"Price, David",D,NC,"$24,340,500","$90,042,500","$90,042,500",
"Price, Tom",R,GA,"$245,000","$2,692,000","$2,692,000",
Pryce,R,OH,"$8,063,000","$17,065,120","$17,065,120",
Putnam,R,FL,"$7,086,000","$15,952,000","$15,952,000",
Radanovich,R,CA,"$4,288,000","$9,593,350","$17,413,350",
Rahall,D,WV,"$8,245,480","$45,055,480","$45,960,480",
Ramstad,R,MN,"$378,000","$12,455,300","$12,455,300",
Rangel,D,NY,"$6,775,000","$10,402,100","$10,402,100",
Regula,R,OH,"$12,516,180","$28,573,180","$28,573,180",
Rehberg,R,MT,"$6,020,000","$44,601,630","$44,601,630",
Reichert,R,WA,"$1,135,000","$27,201,450","$67,052,450",
Renzi,R,AZ,"$6,000,000","$28,654,000","$28,654,000",
Reyes,D,TX,"$7,422,000","$24,044,000","$28,334,000",
Reynolds,R,NY,"$9,182,500","$23,364,500","$23,364,500",5 prez earmarks
Richardson,D,CA,"$907,000","$907,000","$907,000",
Rodriguez,D,TX,"$16,198,500","$52,203,000","$145,747,000",
"Rogers, Harold",R,KY,"$49,274,800","$75,816,000","$75,816,000",
"Rogers, Mike (AL)",R,AL,"$1,203,500","$20,709,000","$99,943,000",Replaced Millender McDonald
"Rogers, Mike (MI)",R,MI,"$1,061,000","$22,526,140","$22,526,140",
Rohrabacher,R,CA,"$1,070,000","$17,039,500","$40,507,500",
Roskam,R,IL,"$2,289,500","$19,245,500","$54,736,500",
Ros-Lehtinen,R,FL,"$4,355,000","$23,660,000","$23,660,000",
Ross,D,AR,"$1,539,000","$47,477,250","$47,477,250",
Rothman,D,NJ,"$4,654,000","$75,168,000","$160,857,000",
Roybal-Allard,D,CA,"$11,409,000","$22,856,000","$102,329,000",
Royce,R,CA,"$1,177,500","$7,040,000","$7,040,000",
Ruppersberger,D,MD,"$3,912,000","$100,366,650","$100,366,650",
Rush,D,IL,"$4,312,000","$5,127,000","$34,617,000",
"Ryan, Paul",R,WI,"$735,000","$5,396,000","$5,396,000",
"Ryan, Tim",D,OH,"$14,198,000","$28,639,850","$28,639,850",
Salazar,D,CO,"$727,500","$27,475,300","$150,257,300",
Sali,R,ID,"$153,000","$10,352,000","$25,112,000",
"Sanchez, Linda",D,CA,"$4,602,000","$5,094,000","$5,094,000",
"Sanchez, Loretta",D,CA,"$7,529,000","$23,449,600","$46,179,600",
Sarbanes,D,MD,"$307,000","$71,010,900","$107,432,900",
Saxton,R,NJ,"$3,504,000","$27,046,000","$27,046,000",
Schakowsky,D,IL,"$1,925,500","$4,419,000","$4,419,000",
Schiff,D,CA,"$7,570,500","$11,965,800","$11,965,800",
Schmidt,R,OH,"$1,786,500","$4,360,420","$15,479,420",
Schwartz,D,PA,"$3,306,600","$16,009,600","$16,009,600",
"Scott, Bobby",D,VA,"$10,013,000","$65,225,800","$100,569,800",
"Scott, David",D,GA,"$1,164,000","$13,418,500","$13,418,500",
Sensenbrenner,R,WI,"$335,000","$926,000","$926,000",
Serrano,D,NY,"$10,857,000","$13,821,000","$13,821,000",
Sessions,R,TX,"$1,890,000","$26,085,000","$110,610,000",
Sestak,D,PA,"$8,659,400","$32,003,400","$32,003,400",
Shadegg,R,AZ,$0,$0,$0,
Shays,R,CT,"$3,013,000","$40,845,900","$45,767,900",
Shea-Porter,D,NH,"$2,148,000","$40,233,000","$42,576,000",
Sherman,D,CA,"$8,516,000","$10,883,000","$10,883,000",
Shimkus,R,IL,"$1,378,500","$10,668,500","$113,004,500",One Pres earmark zeroed out
Shuler,D,NC,"$14,931,000","$26,060,200","$26,060,200",
Shuster,R,PA,"$3,586,500","$17,366,500","$22,288,500",
Simpson,R,ID,"$2,360,000","$61,606,260","$61,606,260",
Sires,D,NJ,"$612,000","$46,735,040","$186,329,175",
Skelton,D,MO,"$44,386,000","$110,386,000","$110,386,000",
Slaughter,D,NY,"$8,358,900","$26,302,300","$26,302,300",
"Smith, Adam",D,WA,"$5,128,500","$29,797,300","$68,682,780",
"Smith, Adrian",R,NE,"$490,000","$2,784,000","$2,784,000",
"Smith, Christopher",R,NJ,"$3,512,000","$14,011,982","$14,011,982",
"Smith, Lamar",R,TX,"$2,083,500","$26,198,500","$29,841,500",
Snyder,D,AR,"$727,000","$62,592,500","$62,592,500",
Solis,D,CA,"$2,397,500","$5,450,500","$5,450,500",
Souder,R,IN,"$430,000","$17,857,700","$17,857,700",
Space,D,OH,"$4,746,320","$12,423,320","$12,423,320",
Spratt,D,SC,"$17,790,000","$27,656,000","$27,656,000",
Stark,D,CA,"$4,115,000","$10,314,000","$10,706,000",
Stearns,R,FL,"$1,631,000","$34,880,100","$34,880,100",
Stupak,D,MI,"$5,091,400","$33,717,900","$35,686,900",
Sullivan,R,OK,"$735,000","$46,871,500","$46,871,500",
Sutton,D,OH,"$3,160,000","$16,319,600","$16,319,600",
Tancredo,R,CO,$0,"$17,558,700","$171,037,974",
Tanner,D,TN,"$1,732,000","$9,383,000","$9,383,000",
Tauscher,D,CA,"$15,510,500","$41,264,600","$42,080,600",
Taylor,D,MS,"$3,039,500","$53,209,000","$53,209,000",
Terry,R,NE,$0,$0,$0,
"Thompson, Bennie",D,MS,"$1,057,000","$1,547,000","$1,547,000",
"Thompson, Mike",D,CA,"$11,889,000","$28,421,000","$40,061,000",
Thornberry,R,TX,"$7,000,000","$12,420,000","$12,420,000",
Tiahrt,R,KS,"$29,813,000","$66,774,000","$164,258,000",
Tiberi,R,OH,"$682,000","$906,000","$906,000",
Tierney,D,MA,"$4,969,000","$23,362,500","$23,362,500",
Towns,D,NY,"$263,000","$11,043,000","$11,043,000",
Tsongas,D,MA,"$622,000","$622,000","$622,000",
